substituent,SMILES for benzoic,SMILES for benzoate,Hammett Constant,SMILE Substituent,Isomer,Charge_acid,Multi_acid,Charge_benzoate,Multi_benzoate
N(Me)2-m,O=C(O)C1=CC(N(C)C)=CC=C1,O=C([O-])C1=CC(N(C)C)=CC=C1,-0.16,[N](C)C,1,0,1,-1,1
N(Me)2-p,O=C(O)C1=CC=C(N(C)C)C=C1,O=C([O-])C1=CC=C(N(C)C)C=C1,-0.83,[N](C)C,2,0,1,-1,1
N(Me)NO2-m,O=C(O)C1=CC(N([N+]([O-])=O)C)=CC=C1,O=C([O-])C1=CC(N([N+]([O-])=O)C)=CC=C1,0.49,[N]([N+](=O)[O-])C,1,0,1,-1,1
N(Me)NO2-p,O=C(O)C1=CC=C(N([N+]([O-])=O)C)C=C1,O=C([O-])C1=CC=C(N([N+]([O-])=O)C)C=C1,0.61,[N]([N+](=O)[O-])C,2,0,1,-1,1
N=CCl2 -m,O=C(O)C1=CC=CC(N=C(Cl)Cl)=C1,O=C([O-])C1=CC=CC(N=C(Cl)Cl)=C1,0.21,[N]=C(Cl)Cl,1,0,1,-1,1
N=CCl2 -p,O=C(O)C1=CC=C(N=C(Cl)Cl)C=C1,O=C([O-])C1=CC=C(N=C(Cl)Cl)C=C1,0.13,[N]=C(Cl)Cl,2,0,1,-1,1
N=NCF3  -m,O=C(O)C1=CC=CC(N=NC(F)(F)F)=C1,O=C([O-])C1=CC=CC(N=NC(F)(F)F)=C1,0.56,[N]=NC(F)(F)F,1,0,1,-1,1
N=NCF3  -p,O=C(O)C1=CC=C(N=NC(F)(F)F)C=C1,O=C([O-])C1=CC=C(N=NC(F)(F)F)C=C1,0.68,[N]=NC(F)(F)F,2,0,1,-1,1
N=NCN -m,O=C(O)C1=CC=CC(N=NC#N)=C1,O=C([O-])C1=CC=CC(N=NC#N)=C1,0.71,[N]=NC#N,1,0,1,-1,1
N=NCN -p,O=C(O)C1=CC=C(N=NC#N)C=C1,O=C([O-])C1=CC=C(N=NC#N)C=C1,1.03,[N]=NC#N,2,0,1,-1,1
N3-m,C1=CC(=CC(=C1)N=[N+]=[N-])C(=O)O,C1=CC(=CC(=C1)N=[N+]=[N-])C(=O)[O-],0.37,[N]=[N+]=[N-],1,0,1,-1,1
N3-p,C1=CC(=CC=C1C(=O)O)N=[N+]=[N-],C1=CC(=CC=C1C(=O)[O-])N=[N+]=[N-],0.08,[N]=[N+]=[N-],2,0,1,-1,1
NC-m,O=C(O)C1=CC=CC([N+]#[C-])=C1,O=C([O-])C1=CC=CC([N+]#[C-])=C1,0.48,[N+]#[C-],1,0,1,-1,1
NCO-m,C1=CC(=CC(=C1)N=C=O)C(=O)O,C1=CC(=CC(=C1)N=C=O)C(=O)[O-],0.27,[N]=C=O,1,0,1,-1,1
NCO-p,C1=CC(=CC=C1C(=O)O)N=C=O,C1=CC(=CC=C1C(=O)[O-])N=C=O,0.19,[N]=C=O,2,0,1,-1,1
NC-p,O=C(O)C1=CC=C([N+]#[C-])C=C1,O=C([O-])C1=CC=C([N+]#[C-])C=C1,0.49,[N+]#[C-],2,0,1,-1,1
NCS-m,C1=CC(=CC(=C1)N=C=S)C(=O)O,C1=CC(=CC(=C1)N=C=S)C(=O)[O-],0.48,[N]=C=S,1,0,1,-1,1
NCS-p,C1=CC(=CC=C1C(=O)O)N=C=S,C1=CC(=CC=C1C(=O)[O-])N=C=S,0.38,[N]=C=S,2,0,1,-1,1
NH2-m,C1=CC(=CC(=C1)N)C(=O)O,C1=CC(=CC(=C1)N)C(=O)[O-],-0.16,[NH2],1,0,1,-1,1
NH2-p,C1=CC(=CC=C1C(=O)O)N,C1=CC(=CC=C1C(=O)[O-])N,-0.66,[NH2],2,0,1,-1,1
NH3+ -m,O=C(O)C1=CC=CC([NH3+])=C1,O=C([O-])C1=CC=CC([NH3+])=C1,0.86,[NH3+],1,1,1,0,1
NH3+ -p,O=C(O)C1=CC=C([NH3+])C=C1,O=C([O-])C1=CC=C([NH3+])C=C1,0.6,[NH3+],2,1,1,0,1
NHCH2SO3- -m,O=C(O)C1=CC=CC(NCS(=O)([O-])=O)=C1,O=C([O-])C1=CC=CC(NCS(=O)([O-])=O)=C1,-0.1,[NH]CS(=O)([O-])=O,1,-1,1,-2,1
NHCH2SO3- -p,O=C(O)C1=CC=C(NCS(=O)([O-])=O)C=C1,O=C([O-])C1=CC=C(NCS(=O)([O-])=O)C=C1,-0.57,[NH]CS(=O)([O-])=O,2,-1,1,-2,1
NHCH3-m,CNC1=CC=CC(=C1)C(=O)O,CNC1=CC=CC(=C1)C(=O)[O-],-0.21,[NH]C,1,0,1,-1,1
NHCH3-p,CNC1=CC=C(C=C1)C(=O)O,CNC1=CC=C(C=C1)C(=O)[O-],-0.7,[NH]C,2,0,1,-1,1
NHCHO-m,C(=O)NC1=CC=CC(=C1)C(=O)O,C(=O)NC1=CC=CC(=C1)C(=O)[O-],0.19,[NH]C=O,1,0,1,-1,1
NHCHO-p,C(=O)NC1=CC=C(C=C1)C(=O)O,C(=O)NC1=CC=C(C=C1)C(=O)[O-],0,[NH]C=O,2,0,1,-1,1
NHCN-m,O=C(O)C1=CC=CC(NC#N)=C1,O=C([O-])C1=CC=CC(NC#N)=C1,0.21,[NH]C#N,1,0,1,-1,1
NHCN-p,O=C(O)C1=CC=C(NC#N)C=C1,O=C([O-])C1=CC=C(NC#N)C=C1,0.06,[NH]C#N,2,0,1,-1,1
NHCOCF3-m,O=C(O)C1=CC(NC(C(F)(F)F)=O)=CC=C1,O=C([O-])C1=CC(NC(C(F)(F)F)=O)=CC=C1,0.3,[NH]C(=O)C(F)(F)F,1,0,1,-1,1
NHCOCF3-p,O=C(O)C1=CC=C(NC(C(F)(F)F)=O)C=C1,O=C([O-])C1=CC=C(NC(C(F)(F)F)=O)C=C1,0.12,[NH]C(=O)C(F)(F)F,2,0,1,-1,1
NHCOCH2Cl-m,O=C(O)C1=CC(NC(CCl)=O)=CC=C1,O=C([O-])C1=CC(NC(CCl)=O)=CC=C1,0.17,[NH]C(CCl)=O,1,0,1,-1,1
NHCOCH2Cl-p,O=C(O)C1=CC=C(NC(CCl)=O)C=C1,O=C([O-])C1=CC=C(NC(CCl)=O)C=C1,-0.03,[NH]C(CCl)=O,2,0,1,-1,1
NHCOCH3-m,O=C(O)C1=CC(NC(C)=O)=CC=C1,O=C([O-])C1=CC(NC(C)=O)=CC=C1,0.21,[NH]C(C)=O,1,0,1,-1,1
NHCOCH3-p,O=C(O)C1=CC=C(NC(C)=O)C=C1,O=C([O-])C1=CC=C(NC(C)=O)C=C1,0,[NH]C(C)=O,2,0,1,-1,1
NHCONH2 -m,O=C(O)C1=CC(NC(N)=O)=CC=C1,O=C([O-])C1=CC(NC(N)=O)=CC=C1,-0.03,[NH]C(N)=O,1,0,1,-1,1
NHCONH2-p,O=C(O)C1=CC=C(NC(N)=O)C=C1,O=C([O-])C1=CC=C(NC(N)=O)C=C1,-0.24,[NH]C(N)=O,2,0,1,-1,1
NHCOOMe-m,O=C(O)C1=CC=CC(NC(OC)=O)=C1,O=C([O-])C1=CC=CC(NC(OC)=O)=C1,-0.02,[NH]C(OC)=O,1,0,1,-1,1
NHCOOMe-p,O=C(O)C1=CC=C(NC(OC)=O)C=C1,O=C([O-])C1=CC=C(NC(OC)=O)C=C1,-0.17,[NH]C(OC)=O,2,0,1,-1,1
NHCSCH3-m,O=C(O)C1=CC(NC(C)=S)=CC=C1,O=C([O-])C1=CC(NC(C)=S)=CC=C1,0.24,[NH]C(C)=S,1,0,1,-1,1
NHCSCH3-p,O=C(O)C1=CC=C(NC(C)=S)C=C1,O=C([O-])C1=CC=C(NC(C)=S)C=C1,0.12,[NH]C(C)=S,2,0,1,-1,1
NHCSNH2 -m,O=C(O)C1=CC(NC(N)=S)=CC=C1,O=C([O-])C1=CC(NC(N)=S)=CC=C1,0.22,[NH]C(N)=S,1,0,1,-1,1
NHCSNH2-p,O=C(O)C1=CC=C(NC(N)=S)C=C1,O=C([O-])C1=CC=C(NC(N)=S)C=C1,0.16,[NH]C(N)=S,2,0,1,-1,1
NHEt-m,O=C(O)C1=CC(NCC)=CC=C1,O=C([O-])C1=CC(NCC)=CC=C1,-0.24,[NH]CC,1,0,1,-1,1
NHEt-p,O=C(O)C1=CC=C(NCC)C=C1,O=C([O-])C1=CC=C(NCC)C=C1,-0.61,[NH]CC,2,0,1,-1,1
NHNO2-m,O=C(O)C1=CC=CC(N[N+]([O-])=O)=C1,O=C([O-])C1=CC=CC(N[N+]([O-])=O)=C1,0.91,[NH][N+](=O)[O-],1,0,1,-1,1
NHNO2-p,O=C(O)C1=CC=C(N[N+]([O-])=O)C=C1,O=C([O-])C1=CC=C(N[N+]([O-])=O)C=C1,0.57,[NH][N+](=O)[O-],2,0,1,-1,1
NHOH-m,O=C(O)C1=CC=CC(NO)=C1,O=C([O-])C1=CC=CC(NO)=C1,-0.04,[NH]O,1,0,1,-1,1
NHOH-p,O=C(O)C1=CC=C(NO)C=C1,O=C([O-])C1=CC=C(NO)C=C1,-0.34,[NH]O,2,0,1,-1,1
NHSO2CF3-m,O=C(O)C1=CC(NS(=O)(C(F)(F)F)=O)=CC=C1,O=C([O-])C1=CC(NS(=O)(C(F)(F)F)=O)=CC=C1,0.44,[NH]S(=O)(=O)C(F)(F)F,1,0,1,-1,1
NHSO2CF3-p,O=C(O)C1=CC=C(NS(=O)(C(F)(F)F)=O)C=C1,O=C([O-])C1=CC=C(NS(=O)(C(F)(F)F)=O)C=C1,0.39,[NH]S(=O)(=O)C(F)(F)F,2,0,1,-1,1
NHSO2CH3-m,O=C(O)C1=CC(NS(=O)(=O)C)=CC=C1,O=C([O-])C1=CC(NS(=O)(=O)C)=CC=C1,0.2,[NH]S(=O)(=O)C,1,0,1,-1,1
NHSO2CH3-p,O=C(O)C1=CC=C(NS(=O)(=O)C)C=C1,O=C([O-])C1=CC=C(NS(=O)(=O)C)C=C1,0.03,[NH]S(=O)(=O)C,2,0,1,-1,1
N---N+-m,C1=CC(=CC(=C1)C(=O)O)[N+]#N,C1=CC(=CC(=C1)C(=O)[O-])[N+]#N,1.76,[N+]#[N],1,0,1,-1,1
N---N+-p,C1=CC(=CC=C1[N+]#N)C(=O)O,C1=CC(=CC=C1[N+]#N)C(=O)[O-],1.91,[N+]#[N],2,0,1,-1,1
NO2-m,C1=CC(=CC(=C1)[N+](=O)[O-])C(=O)O,C1=CC(=CC(=C1)[N+](=O)[O-])C(=O)[O-],0.71,[N+](=O)[O-],1,0,1,-1,1
NO2-p,C1=CC(=CC=C1C(=O)O)[N+](=O)[O-],C1=CC(=CC=C1C(=O)[O-])[N+](=O)[O-],0.78,[N+](=O)[O-],2,0,1,-1,1
NO-m,O=C(O)C1=CC(N=O)=CC=C1,O=C([O-])C1=CC(N=O)=CC=C1,0.62,[N]=O,1,0,1,-1,1
NO-p,O=C(O)C1=CC=C(N=O)C=C1,O=C([O-])C1=CC=C(N=O)C=C1,0.91,[N]=O,2,0,1,-1,1
O- -m,C1=CC(=CC(=C1)[O-])C(=O)O,C1=CC(=CC(=C1)[O-])C(=O)[O-],-0.47,[O-],1,-1,1,-2,1
OC2H5-m,CCOC1=CC=CC(=C1)C(=O)O,CCOC1=CC=CC(=C1)C(=O)[O-],0.1,[O]CC,1,0,1,-1,1
OC2H5-p,CCOC1=CC=C(C=C1)C(=O)O,CCOC1=CC=C(C=C1)C(=O)[O-],-0.24,[O]CC,2,0,1,-1,1
OCCl3-m,C1=CC(=CC(=C1)OC(Cl)(Cl)Cl)C(=O)O,C1=CC(=CC(=C1)OC(Cl)(Cl)Cl)C(=O)[O-],0.43,[O]C(Cl)(Cl)Cl,1,0,1,-1,1
OCCl3-p,C1=CC(=CC=C1C(=O)O)OC(Cl)(Cl)Cl,C1=CC(=CC=C1C(=O)[O-])OC(Cl)(Cl)Cl,0.35,[O]C(Cl)(Cl)Cl,2,0,1,-1,1
OCF2CF3-m,O=C(O)C1=CC=CC(OC(F)(F)C(F)(F)F)=C1,O=C([O-])C1=CC=CC(OC(F)(F)C(F)(F)F)=C1,0.48,[O]C(F)(F)C(F)(F)F,1,0,1,-1,1
OCF2CF3-p,O=C(O)C1=CC=C(OC(F)(F)C(F)(F)F)C=C1,O=C([O-])C1=CC=C(OC(F)(F)C(F)(F)F)C=C1,0.28,[O]C(F)(F)C(F)(F)F,2,0,1,-1,1
OCF2CHF2-m,O=C(O)C1=CC=CC(OC(F)(F)C(F)F)=C1,O=C([O-])C1=CC=CC(OC(F)(F)C(F)F)=C1,0.34,[O]C(F)(F)C(F)F,1,0,1,-1,1
OCF2CHF2-p,O=C(O)C1=CC=C(OC(F)(F)C(F)F)C=C1,O=C([O-])C1=CC=C(OC(F)(F)C(F)F)C=C1,0.25,[O]C(F)(F)C(F)F,2,0,1,-1,1
OCF2O- -m,O=C(O)C1=CC=CC(OC(F)(F)[O-])=C1,O=C([O-])C1=CC=CC(OC(F)(F)[O-])=C1,0.36,[O]C(F)(F)[O-],1,-1,1,-2,1
OCF2O- -p,O=C(O)C1=CC=C(OC(F)(F)[O-])C=C1,O=C([O-])C1=CC=C(OC(F)(F)[O-])C=C1,0.36,[O]C(F)(F)[O-],2,-1,1,-2,1
OCF3-m,C1=CC(=CC(=C1)OC(F)(F)F)C(=O)O,C1=CC(=CC(=C1)OC(F)(F)F)C(=O)[O-],0.38,[O]C(F)(F)F,1,0,1,-1,1
OCF3-p,C1=CC(=CC=C1C(=O)O)OC(F)(F)F,C1=CC(=CC=C1C(=O)[O-])OC(F)(F)F,0.35,[O]C(F)(F)F,2,0,1,-1,1
OCh=CH2-m,O=C(O)C1=CC(OC=C)=CC=C1,O=C([O-])C1=CC(OC=C)=CC=C1,0.21,[O]C=C,1,0,1,-1,1
OCh=CH2-p,O=C(O)C1=CC=C(OC=C)C=C1,O=C([O-])C1=CC=C(OC=C)C=C1,-0.09,[O]C=C,2,0,1,-1,1
OCH2CH=CH2-m,O=C(O)C1=CC=CC(OCC=C)=C1,O=C([O-])C1=CC=CC(OCC=C)=C1,0.09,[O]CC=C,1,0,1,-1,1
OCH2CH=CH2-p,O=C(O)C1=CC=C(OCC=C)C=C1,O=C([O-])C1=CC=C(OCC=C)C=C1,-0.25,[O]CC=C,2,0,1,-1,1
OCH2CH2CH3-m,CCCOC1=CC=CC(=C1)C(=O)O,CCCOC1=CC=CC(=C1)C(=O)[O-],0.1,[O]CCC,1,0,1,-1,1
OCH2CH2CH3-p,CCCOC1=CC=C(C=C1)C(=O)O,CCCOC1=CC=C(C=C1)C(=O)[O-],-0.25,[O]CCC,2,0,1,-1,1
OCH2Cl-m,C1=CC(=CC(=C1)OCCl)C(=O)O,C1=CC(=CC(=C1)OCCl)C(=O)[O-],0.25,[O]CCl,1,0,1,-1,1
OCH2Cl-p,C1=CC(=CC=C1C(=O)O)OCCl,C1=CC(=CC=C1C(=O)[O-])OCCl,0.08,[O]CCl,2,0,1,-1,1
OCH2F-m,C1=CC(=CC(=C1)OCF)C(=O)O,C1=CC(=CC(=C1)OCF)C(=O)[O-],0.2,[O]CF,1,0,1,-1,1
OCH2F-p,C1=CC(=CC=C1C(=O)O)OCF,C1=CC(=CC=C1C(=O)[O-])OCF,0.02,[O]CF,2,0,1,-1,1
OCH2O- -m,O=C(O)C1=CC=CC(OC[O-])=C1,O=C([O-])C1=CC=CC(OC[O-])=C1,-0.16,[O]C[O-],1,-1,1,-2,1
OCH2O- -p,O=C(O)C1=CC=C(OC[O-])C=C1,O=C([O-])C1=CC=C(OC[O-])C=C1,-0.16,[O]C[O-],2,-1,1,-2,1
OCH3-m,COC1=CC=CC(=C1)C(=O)O,COC1=CC=CC(=C1)C(=O)[O-],0.12,[O]C,1,0,1,-1,1
OCH3-p,COC1=CC=C(C=C1)C(=O)O,COC1=CC=C(C=C1)C(=O)[O-],-0.27,[O]C,2,0,1,-1,1
OCHCl2-m,C1=CC(=CC(=C1)OC(Cl)Cl)C(=O)O,C1=CC(=CC(=C1)OC(Cl)Cl)C(=O)[O-],0.38,[O]C(Cl)Cl,1,0,1,-1,1
OCHCl2-p,C1=CC(=CC=C1C(=O)O)OC(Cl)Cl,C1=CC(=CC=C1C(=O)[O-])OC(Cl)Cl,0.26,[O]C(Cl)Cl,2,0,1,-1,1
OCHF2-m,C1=CC(=CC(=C1)OC(F)F)C(=O)O,C1=CC(=CC(=C1)OC(F)F)C(=O)[O-],0.31,[O]C(F)F,1,0,1,-1,1
OCHF2-p,C1=CC(=CC=C1C(=O)O)OC(F)F,C1=CC(=CC=C1C(=O)[O-])OC(F)F,0.18,[O]C(F)F,2,0,1,-1,1
OCOCF3-m,O=C(O)C1=CC(OC(=O)C(F)(F)F)=CC=C1,O=C([O-])C1=CC(OC(=O)C(F)(F)F)=CC=C1,0.56,[O]C(=O)C(F)(F)F,1,0,1,-1,1
OCOCF3-p,O=C(O)C1=CC=C(OC(=O)C(F)(F)F)C=C1,O=C([O-])C1=CC=C(OC(=O)C(F)(F)F)C=C1,0.46,[O]C(=O)C(F)(F)F,2,0,1,-1,1
OCOCH3-m,O=C(O)C1=CC=CC(OC(C)=O)=C1,O=C([O-])C1=CC=CC(OC(C)=O)=C1,0.39,[O]C(C)=O,1,0,1,-1,1
OCOCH3-p,O=C(O)C1=CC=C(OC(C)=O)C=C1,O=C([O-])C1=CC=C(OC(C)=O)C=C1,0.31,[O]C(C)=O,2,0,1,-1,1
OH-m,C1=CC(=CC(=C1)O)C(=O)O,C1=CC(=CC(=C1)O)C(=O)[O-],0.12,[OH],1,0,1,-1,1
OH-p,C1=CC(=CC=C1C(=O)O)O,C1=CC(=CC=C1C(=O)[O-])O,-0.37,[OH],2,0,1,-1,1
ONO2-m,O=C(O)C1=CC=CC(O[N+]([O-])=O)=C1,O=C([O-])C1=CC=CC(O[N+]([O-])=O)=C1,0.55,[O][N+](=O)[O-],1,0,1,-1,1
ONO2-p,O=C(O)C1=CC=C(O[N+]([O-])=O)C=C1,O=C([O-])C1=CC=C(O[N+]([O-])=O)C=C1,0.7,[O][N+](=O)[O-],2,0,1,-1,1
O- -p,C1=CC(=CC=C1C(=O)O)[O-],C1=CC(=CC=C1C(=O)[O-])[O-],-0.81,[O-],2,-1,1,-2,1
OPO3H- -m,O=C(O)C1=CC=CC(OP([O-])(O)=O)=C1,O=C([O-])C1=CC=CC(OP([O-])(O)=O)=C1,0.29,[O]P([O-])(O)=O,1,-1,1,-2,1
OPO3H- -p,O=C(O)C1=CC=C(OP([O-])(O)=O)C=C1,O=C([O-])C1=CC=C(OP([O-])(O)=O)C=C1,0,[O]P([O-])(O)=O,2,-1,1,-2,1
OS(=O)CH3 -m,O=C(O)C1=CC=CC(OS(=O)C)=C1,O=C([O-])C1=CC=CC(OS(=O)C)=C1,0.44,[O]S(C)=O,1,0,1,-1,1
OS(=O)CH3 -p,O=C(O)C1=CC=C(OS(=O)C)C=C1,O=C([O-])C1=CC=C(OS(=O)C)C=C1,0.45,[O]S(C)=O,2,0,1,-1,1
OSO2CF3-m,O=C(O)C1=CC(OS(C(F)(F)F)(=O)=O)=CC=C1,O=C([O-])C1=CC(OS(C(F)(F)F)(=O)=O)=CC=C1,0.56,[O]S(=O)(=O)C(F)(F)F,1,0,1,-1,1
OSO2CF3-p,O=C(O)C1=CC=C(OS(C(F)(F)F)(=O)=O)C=C1,O=C([O-])C1=CC=C(OS(C(F)(F)F)(=O)=O)C=C1,0.53,[O]S(=O)(=O)C(F)(F)F,2,0,1,-1,1
OSO2Me -m,O=C(O)C1=CC=CC(OS(=O)(=O)C)=C1,O=C([O-])C1=CC=CC(OS(=O)(=O)C)=C1,0.39,[O]S(=O)(=O)C,1,0,1,-1,1
OSO2Me -p,O=C(O)C1=CC=C(OS(=O)(=O)C)C=C1,O=C([O-])C1=CC=C(OS(=O)(=O)C)C=C1,0.36,[O]S(=O)(=O)C,2,0,1,-1,1
P(Me)2-m,O=C(O)C1=CC(P(C)C)=CC=C1,O=C([O-])C1=CC(P(C)C)=CC=C1,0.03,[P](C)C,1,0,1,-1,1
P(Me)2-p,O=C(O)C1=CC=C(P(C)C)C=C1,O=C([O-])C1=CC=C(P(C)C)C=C1,0.06,[P](C)C,2,0,1,-1,1
P(O)Cl2-m,O=C(O)C1=CC(P(Cl)(Cl)=O)=CC=C1,O=C([O-])C1=CC(P(Cl)(Cl)=O)=CC=C1,0.78,[P](Cl)(Cl)=O,1,0,1,-1,1
P(O)Cl2-p,O=C(O)C1=CC=C(P(Cl)(Cl)=O)C=C1,O=C([O-])C1=CC=C(P(Cl)(Cl)=O)C=C1,0.9,[P](Cl)(Cl)=O,2,0,1,-1,1
P(S)Cl2-p,O=C(O)C1=CC=C(P(Cl)(Cl)=S)C=C1,O=C([O-])C1=CC=C(P(Cl)(Cl)=S)C=C1,0.8,[P](Cl)(Cl)=S,2,0,1,-1,1
P(S)Cl2-m,O=C(O)C1=CC(P(Cl)(Cl)=S)=CC=C1,O=C([O-])C1=CC(P(Cl)(Cl)=S)=CC=C1,0.7,[P](Cl)(Cl)=S,1,0,1,-1,1
PCl2-m,O=C(O)C1=CC(P(Cl)Cl)=CC=C1,O=C([O-])C1=CC(P(Cl)Cl)=CC=C1,0.54,[P](Cl)Cl,1,0,1,-1,1
PCl2-p,O=C(O)C1=CC=C(P(Cl)Cl)C=C1,O=C([O-])C1=CC=C(P(Cl)Cl)C=C1,0.61,[P](Cl)Cl,2,0,1,-1,1
PF2-m,O=C(O)C1=CC(P(F)F)=CC=C1,O=C([O-])C1=CC(P(F)F)=CC=C1,0.49,[P](F)F,1,0,1,-1,1
PF2-p,O=C(O)C1=CC=C(P(F)F)C=C1,O=C([O-])C1=CC=C(P(F)F)C=C1,0.59,[P](F)F,2,0,1,-1,1
PF4-m,O=C(O)C1=CC(P(F)(F)(F)F)=CC=C1,O=C([O-])C1=CC(P(F)(F)(F)F)=CC=C1,0.63,[P](F)(F)(F)F,1,0,1,-1,1
PF4-p,O=C(O)C1=CC=C(P(F)(F)(F)F)C=C1,O=C([O-])C1=CC=C(P(F)(F)(F)F)C=C1,0.8,[P](F)(F)(F)F,2,0,1,-1,1
PH2-m,C1=CC(=CC(=C1)P)C(=O)O,C1=CC(=CC(=C1)P)C(=O)[O-],0.06,[PH2],1,0,1,-1,1
PH2-p,C1=CC(=CC=C1C(=O)O)P,C1=CC(=CC=C1C(=O)[O-])P,0.05,[PH2],2,0,1,-1,1
PO(OH)2-m,O=C(O)C1=CC=CC(P(O)(O)=O)=C1,O=C([O-])C1=CC=CC(P(O)(O)=O)=C1,0.36,[P](O)(O)=O,1,0,1,-1,1
PO(OH)2-p,O=C(O)C1=CC=C(P(O)(O)=O)C=C1,O=C([O-])C1=CC=C(P(O)(O)=O)C=C1,0.42,[P](O)(O)=O,2,0,1,-1,1
PO3H-    -m,C1=CC(=CC(=C1)P(=O)([O-])O)C(=O)O,C1=CC(=CC(=C1)P(=O)([O-])O)C(=O)[O-],0.2,[P](=O)([O-])O,1,-1,1,-2,1
PO3H -   -p,C1=CC(=CC=C1C(=O)O)P(=O)([O-])O,C1=CC(=CC=C1C(=O)[O-])P(=O)([O-])O,0.26,[P](=O)([O-])O,2,-1,1,-2,1
S-   -m,C1=CC(=CC(=C1)[S-])C(=O)O,C1=CC(=CC(=C1)[S-])C(=O)[O-],-0.36,[S-],1,-1,1,-2,1
S-  -p,C1=CC(=CC=C1C(=O)O)[S-],C1=CC(=CC=C1C(=O)[O-])[S-],-1.21,[S-],2,-1,1,-2,1
S(O)Ome-m,O=C(O)C1=CC=CC(S(OC)=O)=C1,O=C([O-])C1=CC=CC(S(OC)=O)=C1,0.5,[S](OC)=O,1,0,1,-1,1
S(O)Ome-p,O=C(O)C1=CC=C(S(OC)=O)C=C1,O=C([O-])C1=CC=C(S(OC)=O)C=C1,0.54,[S](OC)=O,2,0,1,-1,1
S(O)OH -m,O=C(O)C1=CC=CC(S(O)=O)=C1,O=C([O-])C1=CC=CC(S(O)=O)=C1,-0.04,[S](O)=O,1,0,1,-1,1
S(O)OH -p,O=C(O)C1=CC=C(S(O)=O)C=C1,O=C([O-])C1=CC=C(S(O)=O)C=C1,-0.07,[S](O)=O,2,0,1,-1,1
S(OCH3)-m,O=C(O)C1=CC=CC(SOC)=C1,O=C([O-])C1=CC=CC(SOC)=C1,0.21,[S]OC,1,0,1,-1,1
S(OCH3)-p,O=C(O)C1=CC=C(SOC)C=C1,O=C([O-])C1=CC=C(SOC)C=C1,0.17,[S]OC,2,0,1,-1,1
S+(Me)2-m,O=C(O)C1=CC([S+](C)C)=CC=C1,O=C([O-])C1=CC([S+](C)C)=CC=C1,1,[S+](C)C,1,1,1,0,1
S+(Me)2-p,O=C(O)C1=CC=C([S+](C)C)C=C1,O=C([O-])C1=CC=C([S+](C)C)C=C1,0.9,[S+](C)C,2,1,1,0,1
SC2H5-m,CCSC1=CC=CC(=C1)C(=O)O,CCSC1=CC=CC(=C1)C(=O)[O-],0.18,[S]CC,1,0,1,-1,1
SC2H5-p,CCSC1=CC=C(C=C1)C(=O)O,CCSC1=CC=C(C=C1)C(=O)[O-],0.03,[S]CC,2,0,1,-1,1
SC---CH -m,O=C(O)C1=CC(SC#C)=CC=C1,O=C([O-])C1=CC(SC#C)=CC=C1,0.26,[S]C#C,1,0,1,-1,1
SC---CH -p,O=C(O)C1=CC=C(SC#C)C=C1,O=C([O-])C1=CC=C(SC#C)C=C1,0.19,[S]C#C,2,0,1,-1,1
SCF(CF3)2-m,O=C(O)C1=CC(SC(C(F)(F)F)(C(F)(F)F)F)=CC=C1,O=C([O-])C1=CC(SC(C(F)(F)F)(C(F)(F)F)F)=CC=C1,0.48,[S]C(F)(C(F)(F)F)C(F)(F)F,1,0,1,-1,1
SCF(CF3)2-p,O=C(O)C1=CC=C(SC(C(F)(F)F)(C(F)(F)F)F)C=C1,O=C([O-])C1=CC=C(SC(C(F)(F)F)(C(F)(F)F)F)C=C1,0.51,[S]C(F)(C(F)(F)F)C(F)(F)F,2,0,1,-1,1
SCF2CF2CF3-m,O=C(O)C1=CC(SC(F)(F)C(F)(F)C(F)(F)F)=CC=C1,O=C([O-])C1=CC(SC(F)(F)C(F)(F)C(F)(F)F)=CC=C1,0.45,[S]C(F)(F)C(F)(F)C(F)(F)F,1,0,1,-1,1
SCF2CF2CF3-p,O=C(O)C1=CC=C(SC(F)(F)C(F)(F)C(F)(F)F)C=C1,O=C([O-])C1=CC=C(SC(F)(F)C(F)(F)C(F)(F)F)C=C1,0.48,[S]C(F)(F)C(F)(F)C(F)(F)F,2,0,1,-1,1
SCF2CF3-m,O=C(O)C1=CC=CC(SC(F)(F)C(F)(F)F)=C1,O=C([O-])C1=CC=CC(SC(F)(F)C(F)(F)F)=C1,0.44,[S]C(F)(F)C(F)(F)F,1,0,1,-1,1
SCF2CF3-p,O=C(O)C1=CC=C(SC(F)(F)C(F)(F)F)C=C1,O=C([O-])C1=CC=C(SC(F)(F)C(F)(F)F)C=C1,0.48,[S]C(F)(F)C(F)(F)F,2,0,1,-1,1
SCF2CHF2-m,O=C(O)C1=CC=CC(SC(F)(F)C(F)F)=C1,O=C([O-])C1=CC=CC(SC(F)(F)C(F)F)=C1,0.38,[S]C(F)(F)C(F)F,1,0,1,-1,1
SCF2CHF2-p,O=C(O)C1=CC=C(SC(F)(F)C(F)F)C=C1,O=C([O-])C1=CC=C(SC(F)(F)C(F)F)C=C1,0.47,[S]C(F)(F)C(F)F,2,0,1,-1,1
SCF3-m,O=C(O)C1=CC(SC(F)(F)F)=CC=C1,O=C([O-])C1=CC(SC(F)(F)F)=CC=C1,0.4,[S]C(F)(F)F,1,0,1,-1,1
